contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
Contig_100_30.5801,0,1,chromosome,9573,9573,0,0,2
Contig_101_67.5758,0,0,unlabeled,285,0,0,0,
Contig_102_20.8318,0,1,chromosome,5953,5953,0,0,2
Contig_103_127.941,0,1,chromosome,1724,1724,0,0,1
Contig_104_34.8039,0,1,chromosome,1105,1105,0,0,1
Contig_105_39.2866,0,1,chromosome,28226,28226,0,0,1
Contig_106_24.6348,0,1,chromosome,4241,4241,0,0,2
Contig_107_33.457,0,1,chromosome,29169,29169,0,0,1
Contig_108_52.3501,0,1,chromosome,1045,1045,0,0,1;2
Contig_109_23.873,0,1,chromosome,46739,46739,0,0,2
Contig_10_19.153,1,0,plasmid,4388,0,4388,0,3
Contig_110_6.06667,0,0,unlabeled,515,0,0,0,
Contig_111_266.817,0,1,chromosome,1610,1610,0,0,1;2
Contig_112_24.5464,1,0,plasmid,5219,0,4851,0,3
Contig_113_213.556,0,1,chromosome,735,735,0,0,1;2
Contig_114_27.9475,0,1,chromosome,17385,17385,0,0,1
Contig_115_22.3003,1,0,plasmid,2820,0,2820,0,3
Contig_116_31.6972,0,1,chromosome,23729,23729,0,0,2
Contig_117_39.7155,0,1,chromosome,57650,57650,0,0,2
Contig_118_72.8685,0,1,chromosome,275,275,0,0,1;2
Contig_119_31.6266,0,1,chromosome,92655,92655,0,0,1
Contig_11_17.9631,1,0,plasmid,2054,0,2054,0,3
Contig_120_18.0569,0,1,chromosome,758,758,0,0,2
Contig_121_30.6432,0,1,chromosome,28082,28082,0,0,2
Contig_122_31.9242,0,1,chromosome,6745,6745,0,0,2
Contig_123_24.3185,0,1,chromosome,606,606,0,0,1
Contig_124_30.3917,0,1,chromosome,6991,6991,0,0,2
Contig_125_17.8311,1,0,plasmid,4870,0,4870,0,3
Contig_126_15.6297,0,1,chromosome,1724,1724,0,0,2
Contig_127_52.3735,0,1,chromosome,1521,1521,0,0,1
Contig_128_38.8058,0,1,chromosome,47688,47688,0,0,1
Contig_129_26.3648,0,1,chromosome,4818,4818,0,0,1
Contig_12_18.7904,1,0,plasmid,4162,0,4162,0,3
Contig_130_30.139,0,1,chromosome,5648,5648,0,0,2
Contig_131_60.2286,0,1,chromosome,2875,2875,0,0,2
Contig_132_32.2244,0,1,chromosome,4504,4504,0,0,2
Contig_133_25.7755,0,1,chromosome,4993,4993,0,0,2
Contig_134_22.9359,0,1,chromosome,4460,4460,0,0,2
Contig_135_18.1847,1,0,plasmid,2248,0,2248,0,3
Contig_136_15.2999,1,0,plasmid,4644,0,4644,0,3
Contig_137_23.1426,0,1,chromosome,6256,6256,0,0,1
Contig_138_53.5214,0,1,chromosome,15082,5314,0,0,1
Contig_139_35.3516,0,1,chromosome,23723,23723,0,0,1
Contig_13_30.2298,0,1,chromosome,27107,27107,0,0,1
Contig_140_25.457,0,1,chromosome,4574,4574,0,0,1
Contig_141_44.3354,0,1,chromosome,390,390,0,0,2
Contig_142_34.8842,0,1,chromosome,27705,27705,0,0,2
Contig_143_24.6667,0,1,chromosome,5471,5471,0,0,1
Contig_144_45.8725,0,1,chromosome,5404,5404,0,0,1
Contig_145_33.6749,0,1,chromosome,14221,14221,0,0,1
Contig_146_24.9398,1,0,plasmid,5328,0,5328,0,3
Contig_147_26.1938,0,1,chromosome,40329,40329,0,0,2
Contig_148_24.8037,0,1,chromosome,8552,8552,0,0,2
Contig_149_291.974,0,1,chromosome,1038,1038,0,0,1;2
Contig_14_29.5226,0,1,chromosome,705,705,0,0,2
Contig_150_36.7168,0,1,chromosome,50310,50310,0,0,1
Contig_151_18.2489,0,1,chromosome,7413,7413,0,0,2
Contig_152_74.4167,0,1,chromosome,308,308,0,0,2
Contig_153_31.5925,0,1,chromosome,107010,107010,0,0,2
Contig_154_31.1976,0,1,chromosome,41117,41117,0,0,2
Contig_155_102.275,0,1,chromosome,874,874,0,0,2
Contig_156_38.5027,0,1,chromosome,3929,3929,0,0,2
Contig_157_10.0054,0,1,chromosome,572,572,0,0,2
Contig_158_27.9703,0,1,chromosome,26752,26752,0,0,1
Contig_159_29.6207,0,1,chromosome,716,716,0,0,2
Contig_15_25.3521,0,1,chromosome,2132,2132,0,0,1
Contig_160_26.9343,0,1,chromosome,72693,72693,0,0,2
Contig_161_25.1275,0,1,chromosome,32829,32829,0,0,2
Contig_162_28.262,0,1,chromosome,33061,33061,0,0,2
Contig_163_23.124,0,1,chromosome,2228,2228,0,0,2
Contig_164_35.487,0,1,chromosome,27107,27107,0,0,2
Contig_165_19.9569,1,0,plasmid,7216,0,7216,0,3
Contig_166_37.0125,0,1,chromosome,72936,72936,0,0,2
Contig_167_21.2813,1,0,plasmid,15709,0,15709,0,3
Contig_168_10.6432,1,0,plasmid,1721,0,1721,0,3
Contig_169_23.7497,0,1,chromosome,20439,20439,0,0,2
Contig_16_37.0454,0,1,chromosome,23501,23501,0,0,2
Contig_170_34.5281,0,1,chromosome,32281,32281,0,0,1
Contig_171_27.8222,0,1,chromosome,47069,47069,0,0,1
Contig_172_35.4002,0,1,chromosome,1533,1533,0,0,1
Contig_173_80.0792,0,1,chromosome,395,395,0,0,2
Contig_174_24.5935,0,1,chromosome,2809,2809,0,0,1
Contig_175_32.9232,0,1,chromosome,7898,7898,0,0,1
