contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,344728,344728,0,0,1
2,0,1,chromosome,230514,230514,0,0,1
3,0,1,chromosome,188224,188224,0,0,1
4,0,1,chromosome,175130,175130,0,0,2
5,0,1,chromosome,146859,146859,0,0,2
6,0,1,chromosome,119056,119056,0,0,2
7,0,1,chromosome,115357,115357,0,0,1
8,0,1,chromosome,111709,111709,0,0,2
9,0,1,chromosome,109864,109864,0,0,2
10,0,1,chromosome,93231,93231,0,0,1
11,0,1,chromosome,84140,84140,0,0,2
12,0,1,chromosome,77860,77860,0,0,1
13,0,1,chromosome,77356,77356,0,0,1
14,0,1,chromosome,76598,76598,0,0,2
15,0,1,chromosome,74584,74584,0,0,2
16,0,1,chromosome,70939,70939,0,0,1
17,0,1,chromosome,64706,64706,0,0,1
18,0,1,chromosome,63705,63705,0,0,1
19,0,1,chromosome,62543,62543,0,0,1
20,0,1,chromosome,61395,61395,0,0,1
21,0,1,chromosome,56923,56923,0,0,2
22,0,1,chromosome,55574,55574,0,0,2
23,0,1,chromosome,54177,54177,0,0,2
24,0,1,chromosome,52540,52540,0,0,2
25,0,1,chromosome,50311,50311,0,0,1
26,0,1,chromosome,49433,49433,0,0,2
27,0,1,chromosome,48748,48748,0,0,1
28,0,1,chromosome,47698,47698,0,0,1
29,0,1,chromosome,47661,47661,0,0,1
30,0,1,chromosome,46255,46255,0,0,2
31,0,1,chromosome,46013,46013,0,0,2
32,0,1,chromosome,44502,44502,0,0,2
33,0,1,chromosome,43925,43925,0,0,1
34,0,1,chromosome,41546,41546,0,0,1
35,0,1,chromosome,41118,41118,0,0,2
36,0,1,chromosome,40956,40956,0,0,2
37,0,1,chromosome,38568,38568,0,0,2
38,0,1,chromosome,37298,37298,0,0,2
39,0,1,chromosome,34444,34444,0,0,2
40,0,1,chromosome,32107,32107,0,0,1
41,0,1,chromosome,31699,31699,0,0,1
42,0,1,chromosome,31334,31334,0,0,1
43,1,0,plasmid,31231,0,31231,0,3
44,0,1,chromosome,31151,31151,0,0,1
45,0,1,chromosome,29975,29975,0,0,2
46,0,1,chromosome,29329,29329,0,0,1
47,0,1,chromosome,29219,29219,0,0,1
48,0,1,chromosome,28791,28791,0,0,1
49,0,1,chromosome,27707,27707,0,0,2
50,0,1,chromosome,26413,26413,0,0,2
51,0,1,chromosome,25977,25977,0,0,1
52,1,0,plasmid,25775,0,25775,0,3
53,0,1,chromosome,25774,25774,0,0,2
54,0,1,chromosome,25274,25274,0,0,2
55,0,1,chromosome,23881,23881,0,0,2
56,0,1,chromosome,21961,21961,0,0,1
57,0,1,chromosome,21904,21904,0,0,1
58,0,1,chromosome,21181,21181,0,0,2
59,1,0,plasmid,20636,0,20636,0,3
60,0,1,chromosome,20375,20375,0,0,2
61,1,0,plasmid,19244,0,19244,0,3
62,0,1,chromosome,16848,16848,0,0,1
63,0,1,chromosome,16656,16656,0,0,2
64,0,1,chromosome,15898,15898,0,0,2
65,1,0,plasmid,15712,0,15712,0,3
66,0,1,chromosome,14785,14785,0,0,1
67,1,0,plasmid,13451,0,13451,0,3
68,0,1,chromosome,13184,13184,0,0,2
69,0,1,chromosome,13087,13087,0,0,2
70,1,0,plasmid,12607,0,12607,0,3
71,0,1,chromosome,12351,12351,0,0,2
72,1,0,plasmid,11644,0,11644,0,3
73,0,1,chromosome,11047,11047,0,0,2
74,0,1,chromosome,9814,9814,0,0,2
75,1,0,plasmid,9791,0,9791,0,3
76,0,0,unlabeled,9771,0,0,0,
77,0,1,chromosome,9619,9619,0,0,2
78,0,1,chromosome,9617,9617,0,0,2
79,0,1,chromosome,9573,9573,0,0,2
80,0,1,chromosome,9210,9210,0,0,2
81,0,1,chromosome,8772,8772,0,0,2
82,0,1,chromosome,7914,7914,0,0,2
83,0,1,chromosome,7889,7889,0,0,2
84,0,1,chromosome,7848,7848,0,0,1
85,0,1,chromosome,7800,7800,0,0,1
86,1,0,plasmid,7540,0,7540,0,4
87,0,1,chromosome,7443,7443,0,0,2
88,1,0,plasmid,7438,0,7438,0,3
89,0,1,chromosome,7220,7220,0,0,2
90,0,1,chromosome,7089,7089,0,0,1
91,0,1,chromosome,6992,6992,0,0,2
92,1,0,plasmid,6348,0,6348,0,3
93,0,1,chromosome,6036,6036,0,0,2
94,0,1,chromosome,5696,5696,0,0,1
95,0,1,chromosome,5560,5560,0,0,1;2
96,1,0,plasmid,5541,0,5541,0,5
97,0,1,chromosome,5535,5535,0,0,1
98,0,1,chromosome,5037,5037,0,0,2
99,0,1,chromosome,4814,4814,0,0,1
100,0,1,chromosome,4608,4608,0,0,2
101,0,1,chromosome,4581,4581,0,0,2
102,0,1,chromosome,4572,4572,0,0,1
103,1,0,plasmid,4350,0,4350,0,3
104,1,0,plasmid,4323,0,4323,0,3
105,0,1,chromosome,4275,4275,0,0,2
106,0,1,chromosome,4259,4259,0,0,2
107,1,0,plasmid,4084,0,4084,0,3
108,1,0,plasmid,3814,0,3814,0,3
109,1,0,plasmid,3545,0,3545,0,3
110,0,1,chromosome,2875,2875,0,0,1
111,0,1,chromosome,2875,2875,0,0,2
112,1,1,ambiguous,2571,2571,2571,0,1;3;2
113,0,1,chromosome,2445,2445,0,0,2
114,1,0,plasmid,2298,0,2298,0,3
115,1,0,plasmid,2234,0,2234,0,3
116,1,0,plasmid,2178,0,2178,0,6
117,0,1,chromosome,2133,2133,0,0,1
118,0,1,chromosome,2064,2064,0,0,1
119,0,1,chromosome,2047,2047,0,0,2
120,0,1,chromosome,1894,1894,0,0,2
121,1,0,plasmid,1881,0,1881,0,3
122,1,0,plasmid,1831,0,1831,0,3
123,0,1,chromosome,1701,1701,0,0,1
124,0,1,chromosome,1688,1688,0,0,2
125,1,0,plasmid,1668,0,1668,0,3
126,0,1,chromosome,1536,1536,0,0,1
127,0,1,chromosome,1411,1411,0,0,2
128,0,1,chromosome,1407,1407,0,0,2
129,1,1,ambiguous,1328,1328,1328,0,3;2
130,1,1,ambiguous,1180,1180,1180,0,1;3;2
131,0,1,chromosome,1140,1140,0,0,2
132,0,1,chromosome,989,989,0,0,1;2
133,0,1,chromosome,974,974,0,0,2
134,0,1,chromosome,949,949,0,0,1;2
135,0,1,chromosome,874,874,0,0,2
136,0,1,chromosome,865,865,0,0,1
137,0,1,chromosome,827,827,0,0,1;2
138,1,0,plasmid,820,0,820,0,3
139,0,1,chromosome,775,775,0,0,1
140,0,1,chromosome,728,728,0,0,2
141,0,1,chromosome,711,711,0,0,2
142,0,1,chromosome,696,696,0,0,1
143,0,1,chromosome,660,660,0,0,2
144,1,0,plasmid,502,0,502,0,3
145,0,1,chromosome,495,495,0,0,2
146,0,1,chromosome,495,495,0,0,1
147,0,1,chromosome,427,427,0,0,2
148,0,1,chromosome,425,425,0,0,2
149,0,1,chromosome,410,410,0,0,2
150,0,1,chromosome,401,401,0,0,1
151,0,1,chromosome,399,399,0,0,1;2
152,0,1,chromosome,395,395,0,0,2
153,1,0,plasmid,376,0,376,0,3
