contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
Contig_100_13.1069,0,1,chromosome,1077,1077,0,0,1
Contig_101_58.1378,0,1,chromosome,546,546,0,0,1
Contig_102_99.6829,0,1,chromosome,39324,39324,0,0,1
Contig_103_196.618,0,1,chromosome,994,994,0,0,1
Contig_104_33.6102,0,1,chromosome,1745,1745,0,0,1
Contig_105_77.692,0,1,chromosome,27885,27885,0,0,1
Contig_106_100.051,0,1,chromosome,3266,3266,0,0,1
Contig_107_92.9286,0,1,chromosome,84709,84709,0,0,1
Contig_108_18.1111,0,1,chromosome,3522,3522,0,0,1
Contig_109_11.9229,0,1,chromosome,1745,1745,0,0,1
Contig_10_62.9058,0,0,unlabeled,551,0,0,0,
Contig_110_28.3916,0,1,chromosome,615,615,0,0,1
Contig_111_68.1254,0,1,chromosome,9437,9437,0,0,1
Contig_112_83.0065,0,1,chromosome,129823,129823,0,0,1
Contig_113_80.3232,0,1,chromosome,19872,19872,0,0,1
Contig_114_82.3698,0,1,chromosome,40672,40672,0,0,1
Contig_115_76.5577,0,1,chromosome,56134,56134,0,0,1
Contig_116_179.866,0,1,chromosome,409,409,0,0,1
Contig_117_91.6513,0,1,chromosome,19378,19378,0,0,1
Contig_118_27.5355,0,1,chromosome,1007,1007,0,0,1
Contig_119_54.2339,0,1,chromosome,7613,7613,0,0,1
Contig_11_31.0728,0,1,chromosome,3866,3866,0,0,1
Contig_120_101.712,0,1,chromosome,45379,45379,0,0,1
Contig_121_13.6362,0,1,chromosome,2021,2021,0,0,1
Contig_122_98.5366,0,1,chromosome,6938,6938,0,0,1
Contig_123_106.49,0,1,chromosome,101307,101307,0,0,1
Contig_124_101.429,0,1,chromosome,68901,68901,0,0,1
Contig_125_16.0275,0,1,chromosome,1987,1987,0,0,1
Contig_126_56.9931,0,1,chromosome,15279,15279,0,0,1
Contig_127_81.4285,0,1,chromosome,25968,25968,0,0,1
Contig_128_75.0225,0,1,chromosome,34021,34021,0,0,1
Contig_129_72.4801,0,1,chromosome,28214,28214,0,0,1
Contig_12_106.98,0,1,chromosome,16281,16281,0,0,1
Contig_130_29.1584,0,1,chromosome,4692,4692,0,0,1
Contig_131_60.665,0,1,chromosome,8097,8097,0,0,1
Contig_132_77.0252,0,1,chromosome,46990,46990,0,0,1
Contig_133_64.1262,0,1,chromosome,13861,13861,0,0,1
Contig_134_141.993,0,1,chromosome,2419,2419,0,0,1
Contig_135_43.5439,0,1,chromosome,5672,5672,0,0,1
Contig_136_55.6344,0,1,chromosome,1364,1364,0,0,1
Contig_137_62.877,0,1,chromosome,12792,12792,0,0,1
Contig_13_82.3732,0,1,chromosome,47888,47888,0,0,1
Contig_14_56.4247,0,1,chromosome,13656,13656,0,0,1
Contig_15_13.4662,0,1,chromosome,936,936,0,0,1
Contig_16_95.5857,0,1,chromosome,27403,27403,0,0,1
Contig_17_64.3278,0,1,chromosome,21264,21264,0,0,1
Contig_18_78.5305,0,1,chromosome,42794,42794,0,0,1
Contig_19_102.446,0,1,chromosome,49061,49061,0,0,1
Contig_1_107.883,0,1,chromosome,78277,78277,0,0,1
Contig_20_83.3068,0,1,chromosome,17480,17480,0,0,1
Contig_21_11.3998,0,1,chromosome,1198,1198,0,0,1
Contig_22_68.104,0,1,chromosome,32462,32462,0,0,1
Contig_23_224.128,0,1,chromosome,900,900,0,0,1
Contig_24_66.7822,0,1,chromosome,18548,18530,0,0,1
Contig_25_100.713,0,1,chromosome,31376,31376,0,0,1
Contig_26_77.5062,0,1,chromosome,2425,2425,0,0,1
Contig_27_120.716,0,1,chromosome,26776,26776,0,0,1
Contig_28_12.9577,0,1,chromosome,1815,1815,0,0,1
Contig_29_75.9474,0,1,chromosome,10358,10358,0,0,1
Contig_2_59.8938,0,1,chromosome,1687,1687,0,0,1
Contig_30_86.8618,0,1,chromosome,22219,22219,0,0,1
Contig_31_16.3123,0,1,chromosome,811,811,0,0,1
Contig_32_43.0109,0,1,chromosome,8800,8800,0,0,1
Contig_33_31.1694,0,1,chromosome,506,506,0,0,1
Contig_34_83.1395,0,1,chromosome,27351,27351,0,0,1
Contig_35_87.7032,0,1,chromosome,981,981,0,0,1
Contig_36_78.457,0,1,chromosome,7167,7167,0,0,1
Contig_37_183.416,0,1,chromosome,1171,1171,0,0,1
Contig_38_21.4179,0,1,chromosome,567,567,0,0,1
Contig_39_76.0276,0,1,chromosome,79363,79363,0,0,1
Contig_3_81.8162,0,1,chromosome,67155,67155,0,0,1
Contig_40_172.021,0,1,chromosome,2481,2481,0,0,1
Contig_41_80.4989,0,0,unlabeled,1850,0,0,0,
Contig_42_111.742,0,1,chromosome,69280,69280,0,0,1
Contig_43_89.1121,0,1,chromosome,7906,7906,0,0,1
Contig_44_83.2341,0,1,chromosome,14474,14474,0,0,1
Contig_45_81.6104,0,1,chromosome,41043,41043,0,0,1
Contig_46_93.2569,0,1,chromosome,15212,15212,0,0,1
Contig_47_107.564,0,1,chromosome,45717,45717,0,0,1
Contig_48_21.398,0,1,chromosome,1535,1535,0,0,1
Contig_49_100.547,0,1,chromosome,18647,18647,0,0,1
Contig_4_67.1271,0,1,chromosome,32091,32091,0,0,1
Contig_50_41.6214,0,1,chromosome,14051,14051,0,0,1
Contig_51_69.7871,0,1,chromosome,55575,55575,0,0,1
Contig_52_26.6747,0,1,chromosome,1223,1223,0,0,1
Contig_53_20.6697,0,1,chromosome,4951,4951,0,0,1
Contig_54_77.6091,0,1,chromosome,17299,17299,0,0,1
Contig_55_87.3413,0,1,chromosome,1864,1864,0,0,1
Contig_56_14.9983,0,1,chromosome,605,605,0,0,1
Contig_57_71.8761,0,1,chromosome,11548,11548,0,0,1
Contig_58_80.6925,0,1,chromosome,70664,70664,0,0,1
Contig_59_122.532,0,1,chromosome,11117,11117,0,0,1
Contig_5_63.8653,0,1,chromosome,54529,54529,0,0,1
Contig_60_76.0755,0,1,chromosome,15013,15013,0,0,1
Contig_61_793.328,0,1,chromosome,1720,1720,0,0,1
Contig_62_82.6489,0,1,chromosome,42988,42988,0,0,1
Contig_63_60.2707,0,1,chromosome,2134,2134,0,0,1
Contig_64_122.517,0,1,chromosome,4142,4142,0,0,1
Contig_65_1016.18,0,1,chromosome,1795,1795,0,0,1
Contig_66_97.0696,0,1,chromosome,61786,61786,0,0,1
Contig_67_734.156,0,1,chromosome,1370,1370,0,0,1
Contig_68_84.1506,0,1,chromosome,12206,12206,0,0,1
Contig_69_59.7122,0,1,chromosome,3450,3450,0,0,1
Contig_6_58.9025,0,1,chromosome,2863,1457,0,0,1
Contig_70_73.1852,0,1,chromosome,45991,45991,0,0,1
Contig_71_54.9348,0,1,chromosome,1416,1416,0,0,1
Contig_72_104.832,0,1,chromosome,130494,130494,0,0,1
Contig_73_86.6127,0,1,chromosome,13154,13154,0,0,1
Contig_74_428.766,0,1,chromosome,518,518,0,0,1
Contig_75_74.4257,0,1,chromosome,51231,51231,0,0,1
Contig_76_74.6931,0,1,chromosome,16325,16325,0,0,1
Contig_77_583.672,0,1,chromosome,720,720,0,0,1
Contig_78_42.8306,0,1,chromosome,3254,3254,0,0,1
Contig_79_78.6194,0,1,chromosome,6344,6344,0,0,1
Contig_7_85.5754,0,1,chromosome,17053,17053,0,0,1
Contig_80_63.2043,0,1,chromosome,2580,2580,0,0,1
Contig_81_75.4765,0,1,chromosome,10599,10599,0,0,1
Contig_82_434.198,0,1,chromosome,9451,9451,0,0,1
Contig_83_65.1532,0,1,chromosome,3071,3071,0,0,1
Contig_84_72.3747,0,1,chromosome,7224,7224,0,0,1
Contig_85_752.908,0,1,chromosome,549,549,0,0,1
Contig_86_97.8966,0,1,chromosome,76649,76649,0,0,1
Contig_87_30.8388,0,1,chromosome,3773,3773,0,0,1
Contig_88_456.198,0,1,chromosome,1501,1501,0,0,1
Contig_89_100.546,0,1,chromosome,22386,22386,0,0,1
Contig_8_123.786,0,1,chromosome,11675,11675,0,0,1
Contig_90_124.208,0,1,chromosome,6362,6362,0,0,1
Contig_91_55.0958,0,1,chromosome,28414,28414,0,0,1
Contig_92_65.9811,0,1,chromosome,7216,7216,0,0,1
Contig_93_41.5991,0,1,chromosome,4002,4002,0,0,1
Contig_94_90.7287,0,1,chromosome,89127,89127,0,0,1
Contig_95_87.6194,0,1,chromosome,22970,22970,0,0,1
Contig_96_31.5655,0,1,chromosome,2415,2415,0,0,1
Contig_97_93.6474,0,1,chromosome,9674,9674,0,0,1
Contig_98_82.4755,0,1,chromosome,4889,4889,0,0,1
Contig_99_78.5679,0,1,chromosome,48482,48482,0,0,1
Contig_9_66.3772,0,1,chromosome,30341,30341,0,0,1
Contig_108_18.1111:3p:1:17,0,1,chromosome,145,145,0,0,1
Contig_108_18.1111:3p:1:19,0,0,unlabeled,1,0,0,0,
Contig_108_18.1111:3p:1:27,0,0,unlabeled,2,0,0,0,
Contig_108_18.1111:3p:1:28,0,0,unlabeled,1,0,0,0,
Contig_108_18.1111:3p:1:29,0,0,unlabeled,1,0,0,0,
Contig_108_18.1111:3p:1:30,0,0,unlabeled,7,0,0,0,
Contig_108_18.1111:3p:1:33,0,0,unlabeled,1,0,0,0,
Contig_108_18.1111:3p:1:35,0,0,unlabeled,1,0,0,0,
Contig_108_18.1111:3p:1:36,0,0,unlabeled,1,0,0,0,
Contig_108_18.1111:3p:1:40,0,0,unlabeled,1,0,0,0,
Contig_108_18.1111:3p:1:41,0,0,unlabeled,1,0,0,0,
Contig_108_18.1111:3p:1:42,0,0,unlabeled,1,0,0,0,
