contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,210737,210737,0,0,1
2,0,1,chromosome,153915,153915,0,0,1
3,0,1,chromosome,151582,151545,0,0,1
4,0,1,chromosome,134583,134583,0,0,1
5,0,1,chromosome,124265,124265,0,0,1
6,0,1,chromosome,123223,123223,0,0,1
7,0,1,chromosome,105235,105235,0,0,1
8,0,1,chromosome,86059,86059,0,0,1
9,0,1,chromosome,81972,81972,0,0,1
10,0,1,chromosome,80352,80352,0,0,1
11,0,1,chromosome,72391,72391,0,0,1
12,0,1,chromosome,71566,71518,0,0,1
13,0,1,chromosome,69059,69059,0,0,1
14,0,1,chromosome,63195,63195,0,0,1
15,0,1,chromosome,50007,50007,0,0,1
16,0,1,chromosome,48128,48128,0,0,1
17,0,1,chromosome,42407,42407,0,0,1
18,0,1,chromosome,42033,42033,0,0,1
19,0,1,chromosome,40146,40146,0,0,1
20,0,1,chromosome,39009,39009,0,0,1
21,0,1,chromosome,37520,37520,0,0,1
22,0,1,chromosome,37093,37093,0,0,1
23,0,1,chromosome,35353,35353,0,0,1
24,0,1,chromosome,34194,34194,0,0,1
25,0,1,chromosome,33404,33404,0,0,1
26,0,1,chromosome,31537,31537,0,0,1
27,0,1,chromosome,30950,30950,0,0,1
28,0,1,chromosome,26601,26601,0,0,1
29,0,1,chromosome,25486,25486,0,0,1
30,0,1,chromosome,24983,24983,0,0,1
31,0,1,chromosome,22939,22939,0,0,1
32,0,1,chromosome,22938,22938,0,0,1
33,0,1,chromosome,22434,22434,0,0,1
34,0,1,chromosome,21630,21630,0,0,1
35,0,1,chromosome,21248,21248,0,0,1
36,1,0,plasmid,20783,0,20783,0,2
37,0,1,chromosome,20668,20668,0,0,1
38,0,1,chromosome,20481,20481,0,0,1
39,0,1,chromosome,19622,19622,0,0,1
40,0,1,chromosome,18440,18440,0,0,1
41,1,0,plasmid,17874,0,17874,0,2
42,0,1,chromosome,17296,17296,0,0,1
43,0,1,chromosome,17186,17186,0,0,1
