contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
Contig_100_85.3441,1,0,plasmid,6659,0,6658,0,2
Contig_101_143.682,1,0,plasmid,4028,0,4028,0,3
Contig_102_65.4319,0,1,chromosome,35818,35818,0,0,1
Contig_103_125.475,0,1,chromosome,316,316,0,0,1
Contig_104_106.727,0,1,chromosome,16448,16448,0,0,1
Contig_105_94.1012,0,1,chromosome,18849,18849,0,0,1
Contig_106_77.5912,0,1,chromosome,30385,30385,0,0,1
Contig_107_65.4158,1,0,plasmid,1310,0,1310,0,2
Contig_108_102.841,1,0,plasmid,1692,0,1692,0,2
Contig_109_124.345,1,0,plasmid,4280,0,4280,0,3
Contig_10_139.916,1,0,plasmid,1411,0,1411,0,3
Contig_110_180.615,1,0,plasmid,682,0,682,0,4
Contig_111_67.6137,0,1,chromosome,15941,15941,0,0,1
Contig_112_679.017,0,1,chromosome,1379,1379,0,0,1
Contig_113_199.61,0,1,chromosome,530,530,0,0,1
Contig_114_232.75,1,0,plasmid,518,0,518,0,3;2
Contig_115_141.353,0,1,chromosome,511,511,0,0,1
Contig_116_62.1803,1,0,plasmid,3909,0,3909,0,2
Contig_117_170.965,0,1,chromosome,2422,2422,0,0,1
Contig_118_483.728,0,1,chromosome,905,905,0,0,1
Contig_119_67.7703,1,0,plasmid,3958,0,3958,0,2
Contig_11_69.1144,0,1,chromosome,2400,2400,0,0,1
Contig_120_186.768,1,0,plasmid,2541,0,2541,0,4
Contig_121_85.8346,1,0,plasmid,8074,0,8074,0,2
Contig_122_97.1624,0,1,chromosome,24749,24749,0,0,1
Contig_123_829.297,1,1,ambiguous,341,341,341,0,1;2
Contig_124_90.8079,0,1,chromosome,14115,14115,0,0,1
Contig_125_412.792,1,1,ambiguous,854,854,854,0,1;3;2
Contig_126_114.497,1,0,plasmid,692,0,692,0,2
Contig_127_350.415,1,1,ambiguous,552,552,552,0,1;3;2
Contig_128_96.2187,1,0,plasmid,4593,0,4593,0,2
Contig_129_96.7058,0,1,chromosome,77202,77202,0,0,1
Contig_12_150.405,1,0,plasmid,1152,0,1152,0,4
Contig_130_74.9631,0,1,chromosome,9329,9329,0,0,1
Contig_131_85.1877,0,1,chromosome,4805,4805,0,0,1
Contig_132_96.4032,0,1,chromosome,23573,23573,0,0,1
Contig_133_550.629,1,1,ambiguous,504,504,504,0,1;2
