contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
Contig_10_92.9592,0,1,chromosome,251847,251847,0,0,1
Contig_11_96.1233,0,1,chromosome,8392,8392,0,0,1
Contig_12_94.4766,0,1,chromosome,19446,19446,0,0,1
Contig_13_95.2233,0,1,chromosome,43841,43841,0,0,1
Contig_14_95.3773,0,1,chromosome,80175,80175,0,0,1
Contig_15_96.6065,0,1,chromosome,60822,60822,0,0,1
Contig_16_91.569,0,1,chromosome,49871,49871,0,0,1
Contig_17_92.5815,0,1,chromosome,141915,141915,0,0,1
Contig_18_91.8897,0,1,chromosome,187811,187811,0,0,1
Contig_19_95.6135,0,1,chromosome,60347,60347,0,0,1
Contig_1_5690.62_Circ,1,0,plasmid,2495,0,2376,0,4
Contig_20_101.494,0,1,chromosome,29167,29167,0,0,1
Contig_21_1285.01,1,1,ambiguous,1229,1229,1229,0,1;2
Contig_22_1671.86,0,1,chromosome,1212,1212,0,0,1
Contig_23_95.5138,0,1,chromosome,3255,3255,0,0,1
Contig_24_96.4941,0,1,chromosome,2884,2884,0,0,1
Contig_25_90.5459,0,1,chromosome,9096,9096,0,0,1
Contig_26_95.8701,0,1,chromosome,74916,74916,0,0,1
Contig_27_92.3072,0,1,chromosome,74337,74337,0,0,1
Contig_28_104.616,0,1,chromosome,29493,29493,0,0,1
Contig_29_93.4444,0,1,chromosome,44223,44223,0,0,1
Contig_2_94.8278,0,1,chromosome,124239,124239,0,0,1
Contig_30_96.0528,0,1,chromosome,66816,66816,0,0,1
Contig_31_94.1255,0,1,chromosome,55222,55222,0,0,1
Contig_32_94.0055,0,1,chromosome,24027,24027,0,0,1
Contig_33_93.5109,0,1,chromosome,90832,90832,0,0,1
Contig_34_95.4678,0,1,chromosome,111719,111719,0,0,1
Contig_35_91.1329,0,1,chromosome,5177,5177,0,0,1
Contig_36_97.2672,0,1,chromosome,43158,43158,0,0,1
Contig_37_101.726,0,0,unlabeled,3350,0,0,0,
Contig_38_100.258,0,1,chromosome,15756,15756,0,0,1
Contig_39_96.6119,0,1,chromosome,6974,6974,0,0,1
Contig_3_95.8038,0,1,chromosome,28044,28044,0,0,1
Contig_40_91.8502,0,1,chromosome,8121,8121,0,0,1
Contig_41_96.3187,0,1,chromosome,32994,32994,0,0,1
Contig_42_96.9371,0,1,chromosome,36984,36984,0,0,1
Contig_43_97.3689,0,1,chromosome,291794,291794,0,0,1
Contig_44_733.621,0,1,chromosome,426,426,0,0,1
Contig_45_94.6661,0,1,chromosome,76876,76876,0,0,1
Contig_46_98.0352,0,1,chromosome,12027,12027,0,0,1
