contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,521532,521532,0,0,1
2,0,1,chromosome,254319,254319,0,0,1
3,0,1,chromosome,196087,196085,0,0,1
4,0,1,chromosome,184745,184745,0,0,1
5,0,1,chromosome,183635,183635,0,0,1
6,0,1,chromosome,182555,182555,0,0,1
7,0,1,chromosome,180176,180176,0,0,1
8,0,1,chromosome,167932,167932,0,0,1
9,0,1,chromosome,150498,150498,0,0,1
10,0,1,chromosome,146198,146198,0,0,1
11,0,1,chromosome,144711,144711,0,0,1
12,0,1,chromosome,128497,128497,0,0,1
13,0,1,chromosome,124655,124655,0,0,1
14,0,1,chromosome,123351,123351,0,0,1
15,0,1,chromosome,122968,122968,0,0,1
16,0,1,chromosome,111398,111398,0,0,1
17,0,1,chromosome,106223,106223,0,0,1
18,0,1,chromosome,97609,97609,0,0,1
19,0,1,chromosome,95672,95672,0,0,1
20,0,1,chromosome,92753,92753,0,0,1
21,0,1,chromosome,91161,91161,0,0,1
22,0,1,chromosome,90472,90472,0,0,1
23,0,1,chromosome,81870,81870,0,0,1
24,0,1,chromosome,81050,81050,0,0,1
25,0,1,chromosome,79439,79439,0,0,1
26,0,1,chromosome,63662,63662,0,0,1
27,1,0,plasmid,62067,0,62067,0,2
28,0,1,chromosome,60213,60213,0,0,1
29,0,1,chromosome,58359,58359,0,0,1
30,1,0,plasmid,57906,0,57906,0,3
31,0,1,chromosome,56680,56680,0,0,1
32,0,1,chromosome,53823,53823,0,0,1
33,0,1,chromosome,53593,53593,0,0,1
34,0,1,chromosome,49067,49067,0,0,1
35,0,1,chromosome,48282,48282,0,0,1
36,0,1,chromosome,42703,42703,0,0,1
37,0,1,chromosome,40583,40583,0,0,1
38,0,1,chromosome,36266,36266,0,0,1
39,0,1,chromosome,35614,35614,0,0,1
40,0,1,chromosome,33166,33166,0,0,1
41,1,0,plasmid,29950,0,29950,0,2
42,0,1,chromosome,29834,29834,0,0,1
43,1,0,plasmid,29618,0,29618,0,2
44,0,1,chromosome,29257,29257,0,0,1
45,0,1,chromosome,28883,28883,0,0,1
46,0,1,chromosome,26025,26025,0,0,1
47,0,1,chromosome,20774,20774,0,0,1
48,0,1,chromosome,17811,17811,0,0,1
49,1,0,plasmid,16215,0,16215,0,2
50,0,1,chromosome,15066,15066,0,0,1
51,0,1,chromosome,14005,14005,0,0,1
52,1,0,plasmid,13012,0,13012,0,2
53,0,1,chromosome,12767,12767,0,0,1
54,1,0,plasmid,12702,0,12702,0,3
55,0,1,chromosome,11330,11330,0,0,1
56,1,0,plasmid,10221,0,10221,0,3
57,0,1,chromosome,9992,9992,0,0,1
58,1,0,plasmid,9395,0,9395,0,2
59,1,0,plasmid,9160,0,9160,0,2
60,0,1,chromosome,8097,8097,0,0,1
61,0,1,chromosome,8088,8088,0,0,1
62,0,1,chromosome,8081,8081,0,0,1
63,0,1,chromosome,6860,6860,0,0,1
64,0,1,chromosome,6666,6666,0,0,1
65,1,0,plasmid,6132,0,6132,0,4;2
66,1,0,plasmid,5987,0,5987,0,3
67,0,0,unlabeled,5910,0,0,0,
68,1,1,ambiguous,5136,5136,5136,0,1;3
69,1,0,plasmid,4882,0,4882,0,2
70,0,1,chromosome,4514,4514,0,0,1
71,0,1,chromosome,4092,4092,0,0,1
72,0,1,chromosome,3580,3580,0,0,1
73,1,0,plasmid,3330,0,3330,0,5
74,1,0,plasmid,3295,0,3295,0,4
75,1,0,plasmid,3294,0,3294,0,3
76,1,0,plasmid,3061,0,3061,0,6
77,0,1,chromosome,2670,2670,0,0,1
78,0,1,chromosome,2650,2650,0,0,1
79,0,1,chromosome,2580,2580,0,0,1
80,1,0,plasmid,2286,0,2286,0,3
81,0,1,chromosome,2139,2139,0,0,1
82,0,1,chromosome,1776,1776,0,0,1
83,0,1,chromosome,1710,1710,0,0,1
84,0,1,chromosome,1701,1701,0,0,1
85,1,0,plasmid,1455,0,1455,0,2
86,1,0,plasmid,1442,0,1442,0,3
87,0,1,chromosome,1230,1230,0,0,1
88,0,1,chromosome,1112,1112,0,0,1
89,1,0,plasmid,1042,0,1042,0,2
90,1,0,plasmid,982,0,982,0,2
91,1,0,plasmid,945,0,945,0,4
92,1,0,plasmid,944,0,944,0,2
93,0,1,chromosome,932,932,0,0,1
94,1,1,ambiguous,841,841,841,0,1;3
95,1,1,ambiguous,820,820,820,0,1;3;2
96,1,0,plasmid,634,0,634,0,5
97,1,1,ambiguous,592,592,592,0,1;3;2
98,1,0,plasmid,586,0,586,0,2
99,1,0,plasmid,549,0,549,0,2
100,1,1,ambiguous,534,534,534,0,1;2
101,1,1,ambiguous,532,532,532,0,1;2
102,0,1,chromosome,530,530,0,0,1
103,0,0,unlabeled,523,0,0,0,
104,1,0,plasmid,519,0,519,0,3
105,1,0,plasmid,507,0,507,0,3
106,1,1,ambiguous,507,507,507,0,1;2
107,0,1,chromosome,487,487,0,0,1
108,0,1,chromosome,487,487,0,0,1
109,1,0,plasmid,471,0,471,0,2
110,1,0,plasmid,452,0,452,0,6
111,1,0,plasmid,445,0,445,0,2
112,1,0,plasmid,426,0,426,0,3;2
113,1,0,plasmid,423,0,423,0,2
114,1,1,ambiguous,413,413,413,0,1;2
115,1,0,plasmid,412,0,412,0,5
116,1,1,ambiguous,401,401,401,0,1;3
117,0,1,chromosome,358,358,0,0,1
118,1,0,plasmid,358,0,358,0,3;2
119,0,1,chromosome,358,358,0,0,1
120,1,1,ambiguous,357,357,357,0,1;3
121,0,1,chromosome,330,330,0,0,1
122,1,0,plasmid,296,0,296,0,6
123,0,1,chromosome,272,272,0,0,1
124,0,1,chromosome,271,271,0,0,1
125,1,1,ambiguous,246,246,246,0,1;2
126,1,0,plasmid,245,0,245,0,6
127,1,0,plasmid,223,0,223,0,3;2
128,1,0,plasmid,209,0,209,0,4
129,1,0,plasmid,201,0,201,0,3
130,1,0,plasmid,194,0,194,0,3;2
131,0,1,chromosome,192,192,0,0,1
132,1,0,plasmid,189,0,189,0,3
133,0,1,chromosome,188,188,0,0,1
134,1,0,plasmid,187,0,187,0,3;2
135,0,1,chromosome,185,185,0,0,1
136,1,0,plasmid,184,0,184,0,6;5
137,1,1,ambiguous,173,173,173,0,1;3
138,1,1,ambiguous,173,173,173,0,1;3
139,1,0,plasmid,168,0,168,0,6;5
140,0,1,chromosome,166,166,0,0,1
141,1,0,plasmid,165,0,165,0,3;2
142,1,0,plasmid,162,0,162,0,3;2
143,1,0,plasmid,162,0,162,0,3;2
144,1,0,plasmid,157,0,157,0,3;2
145,0,1,chromosome,157,157,0,0,1
146,0,1,chromosome,153,153,0,0,1
147,0,1,chromosome,153,153,0,0,1
148,0,1,chromosome,149,149,0,0,1
149,0,1,chromosome,149,149,0,0,1
150,0,1,chromosome,147,147,0,0,1
151,0,1,chromosome,144,144,0,0,1
152,0,1,chromosome,140,140,0,0,1
153,0,1,chromosome,137,137,0,0,1
154,0,1,chromosome,137,137,0,0,1
155,0,1,chromosome,136,136,0,0,1
156,1,0,plasmid,134,0,134,0,6;4;5
157,1,1,ambiguous,132,132,132,0,1;3
