contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
Contig_10_92.4066,0,1,chromosome,13868,13868,0,0,1
Contig_11_977.164,0,1,chromosome,531,531,0,0,1
Contig_12_94.5328,0,1,chromosome,22183,22183,0,0,1
Contig_13_112.15,0,0,unlabeled,3040,0,0,0,
Contig_14_101.427,0,1,chromosome,121738,121738,0,0,1
Contig_15_100.538,0,1,chromosome,14029,14029,0,0,1
Contig_16_115.115,0,1,chromosome,4978,4978,0,0,1
Contig_17_309.193,0,1,chromosome,890,890,0,0,1
Contig_18_96.9085,0,1,chromosome,16413,16413,0,0,1
Contig_19_93.0153,0,1,chromosome,20240,20240,0,0,1
Contig_1_4024.18_Circ,1,0,plasmid,2590,0,2445,0,4
Contig_20_99.3772,0,1,chromosome,127617,127617,0,0,1
Contig_21_93.8267,0,1,chromosome,158663,158663,0,0,1
Contig_22_101.092,0,1,chromosome,87716,87716,0,0,1
Contig_23_102.089,0,1,chromosome,96180,96180,0,0,1
Contig_24_702.467,0,1,chromosome,973,973,0,0,1
Contig_25_102.818,0,1,chromosome,343706,343706,0,0,1
Contig_26_99.2536,0,1,chromosome,78746,78746,0,0,1
Contig_27_108.691,0,1,chromosome,31246,31246,0,0,1
Contig_28_103.394,0,1,chromosome,26524,26524,0,0,1
Contig_29_98.2447,0,1,chromosome,24619,24619,0,0,1
Contig_2_2659.3_Circ,1,0,plasmid,6760,0,5900,0,3
Contig_30_683.61,0,1,chromosome,728,728,0,0,1
Contig_31_107.262,0,1,chromosome,61410,61410,0,0,1
Contig_32_189.484,0,1,chromosome,856,856,0,0,1
Contig_33_94.6426,0,1,chromosome,24139,24139,0,0,1
Contig_34_133.002,1,0,plasmid,142553,0,142553,0,2
Contig_35_110.323,0,1,chromosome,120587,120587,0,0,1
Contig_36_122.841,0,1,chromosome,7814,7814,0,0,1
Contig_37_104.201,0,1,chromosome,39211,39211,0,0,1
Contig_38_109.282,0,1,chromosome,54675,54675,0,0,1
Contig_39_256.809,0,1,chromosome,1111,1111,0,0,1
Contig_3_105.068,0,1,chromosome,26949,26949,0,0,1
Contig_40_226.079,0,1,chromosome,1111,1111,0,0,1
Contig_41_97.5981,0,1,chromosome,30509,30509,0,0,1
Contig_42_146.28,0,1,chromosome,2209,2209,0,0,1
Contig_43_107.343,0,1,chromosome,50230,50230,0,0,1
Contig_44_122.067,0,1,chromosome,2716,2716,0,0,1
Contig_45_294.485,0,1,chromosome,592,592,0,0,1
Contig_46_102.631,0,1,chromosome,76050,76050,0,0,1
Contig_47_98.0312,0,1,chromosome,50565,50565,0,0,1
Contig_48_105.638,0,1,chromosome,42591,42591,0,0,1
Contig_49_98.1711,0,1,chromosome,16903,16903,0,0,1
Contig_4_91.365,0,1,chromosome,65013,65013,0,0,1
Contig_50_100.674,0,1,chromosome,131257,131257,0,0,1
Contig_51_98.9627,0,1,chromosome,196039,196039,0,0,1
Contig_52_449.106,1,1,ambiguous,571,571,571,0,1;2
Contig_53_102.648,0,1,chromosome,37701,37701,0,0,1
Contig_54_96.4011,0,1,chromosome,712036,712036,0,0,1
Contig_55_101.622,0,1,chromosome,116274,116274,0,0,1
Contig_56_102.047,0,1,chromosome,18780,18780,0,0,1
Contig_57_98.2276,0,1,chromosome,261637,261637,0,0,1
Contig_58_103.089,0,1,chromosome,22655,22655,0,0,1
Contig_59_97.3586,0,1,chromosome,50465,50465,0,0,1
Contig_5_94.5205,0,1,chromosome,270957,270957,0,0,1
Contig_60_89.5494,0,1,chromosome,2207,2207,0,0,1
Contig_61_93.6717,0,1,chromosome,162192,162192,0,0,1
Contig_62_100.971,0,1,chromosome,102586,102586,0,0,1
Contig_63_132.956,0,1,chromosome,5046,5046,0,0,1
Contig_64_94.1011,0,1,chromosome,89618,89618,0,0,1
