contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,179499,179499,0,0,2
2,0,1,chromosome,164877,164877,0,0,1
3,0,1,chromosome,156697,156697,0,0,1
4,0,1,chromosome,146486,146486,0,0,1
5,0,1,chromosome,144279,144279,0,0,1
6,0,1,chromosome,127301,127301,0,0,2
7,0,1,chromosome,124833,124833,0,0,2
8,0,1,chromosome,117566,117566,0,0,1
9,0,1,chromosome,117535,117535,0,0,1
10,0,1,chromosome,114724,114724,0,0,2
11,1,0,plasmid,106967,0,106967,0,3
12,0,1,chromosome,102436,102436,0,0,2
13,0,1,chromosome,100920,100920,0,0,1
14,0,1,chromosome,100194,100194,0,0,1
15,0,1,chromosome,100162,100162,0,0,1
16,0,1,chromosome,98836,98836,0,0,2
17,0,1,chromosome,97395,97395,0,0,1
18,0,1,chromosome,85915,85915,0,0,1
19,0,1,chromosome,82995,82995,0,0,1
20,0,1,chromosome,82981,82981,0,0,1
21,0,1,chromosome,79623,79623,0,0,1
22,0,1,chromosome,69176,69176,0,0,1
23,0,1,chromosome,63394,63394,0,0,2
24,0,1,chromosome,62374,62374,0,0,1
25,0,1,chromosome,62288,62288,0,0,2
26,0,1,chromosome,60420,60420,0,0,1
27,0,1,chromosome,60419,60419,0,0,1
28,0,1,chromosome,56890,56890,0,0,1
29,0,1,chromosome,54662,54662,0,0,1
30,0,1,chromosome,53445,53445,0,0,1
31,0,1,chromosome,52426,52426,0,0,1
32,0,1,chromosome,51481,51481,0,0,1
33,0,1,chromosome,50052,50052,0,0,1
34,0,1,chromosome,44891,44891,0,0,1
35,0,1,chromosome,42583,42583,0,0,1
36,0,1,chromosome,39921,39921,0,0,1
37,0,1,chromosome,35828,35828,0,0,2
38,0,1,chromosome,35701,35701,0,0,1
39,1,0,plasmid,35428,0,35428,0,4
40,0,1,chromosome,35139,35139,0,0,1
41,0,1,chromosome,33518,33518,0,0,2
42,0,1,chromosome,29515,29515,0,0,2
43,0,1,chromosome,29448,29448,0,0,1
44,0,1,chromosome,28448,28448,0,0,1
45,0,1,chromosome,26170,26170,0,0,1
46,0,1,chromosome,25443,25443,0,0,2
47,0,1,chromosome,24730,24730,0,0,1
48,0,1,chromosome,23742,23742,0,0,1
49,0,1,chromosome,23328,23328,0,0,1
50,0,1,chromosome,22715,22715,0,0,1
51,0,1,chromosome,21916,21916,0,0,1
52,1,0,plasmid,20727,0,20727,0,4
53,0,1,chromosome,20101,20101,0,0,1
54,0,1,chromosome,19342,19342,0,0,2
55,0,1,chromosome,14933,14933,0,0,2
56,0,1,chromosome,14333,14333,0,0,1
57,0,1,chromosome,13932,13932,0,0,1
58,0,1,chromosome,13046,13046,0,0,1
59,0,1,chromosome,12675,12675,0,0,2
60,1,0,plasmid,12504,0,12504,0,4
61,0,1,chromosome,9913,9913,0,0,1
62,1,0,plasmid,9880,0,9880,0,5
63,0,1,chromosome,9823,9823,0,0,1
64,0,1,chromosome,8907,8907,0,0,1
65,0,1,chromosome,8277,8277,0,0,1
66,0,1,chromosome,8141,8141,0,0,1
67,0,1,chromosome,7932,7932,0,0,1
68,0,1,chromosome,7931,7931,0,0,2
69,0,1,chromosome,7248,7248,0,0,1
70,0,1,chromosome,6514,6514,0,0,2
71,0,1,chromosome,5455,5455,0,0,2
72,0,0,unlabeled,4152,0,0,4152,6
73,0,1,chromosome,3493,3493,0,0,1
74,0,1,chromosome,3062,3062,0,0,1
75,0,1,chromosome,2594,2594,0,0,1;2
76,0,1,chromosome,2143,2143,0,0,1
77,0,1,chromosome,1841,1841,0,0,1
78,0,1,chromosome,1560,1560,0,0,1
79,0,1,chromosome,1463,1463,0,0,1
80,0,1,chromosome,1383,1383,0,0,1
81,0,1,chromosome,1226,1226,0,0,1
82,0,1,chromosome,1221,1221,0,0,1
83,1,1,ambiguous,1087,1087,1087,0,4;1;2
84,0,1,chromosome,1039,1039,0,0,1;2
85,0,1,chromosome,1033,1033,0,0,1
86,0,1,chromosome,1031,1031,0,0,1
87,0,1,chromosome,1025,1025,0,0,1;2
88,0,1,chromosome,977,977,0,0,1
