contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
Contig_100_272.333,0,1,chromosome,1807,1782,0,0,1
Contig_101_203.197,0,1,chromosome,43924,43924,0,0,1
Contig_102_177.276,0,1,chromosome,7928,7928,0,0,1
Contig_103_199.679,0,1,chromosome,30223,30223,0,0,1
Contig_104_232.618,0,1,chromosome,50112,50112,0,0,1
Contig_105_227.739,0,1,chromosome,85912,85912,0,0,1
Contig_106_172.932,0,1,chromosome,10411,10411,0,0,1
Contig_107_210.762,0,1,chromosome,63019,63019,0,0,1
Contig_108_223.975,0,1,chromosome,32252,32252,0,0,1
Contig_109_239.571,0,1,chromosome,60743,60743,0,0,1
Contig_10_528.384,0,1,chromosome,614,614,0,0,1
Contig_11_1359.34,0,1,chromosome,409,409,0,0,1
Contig_12_262.33,0,1,chromosome,2856,2856,0,0,1
Contig_13_223.072,0,1,chromosome,32344,32344,0,0,1
Contig_14_272.476,0,1,chromosome,6074,6074,0,0,1
Contig_15_206.402,0,1,chromosome,37663,37663,0,0,1
Contig_16_207.566,0,1,chromosome,50605,50605,0,0,1
Contig_17_5026.36,0,1,chromosome,1098,1098,0,0,1
Contig_18_517.108,0,1,chromosome,2904,2904,0,0,1
Contig_19_240.356,0,1,chromosome,100342,100342,0,0,1
Contig_1_220.944_Circ,0,1,chromosome,378,367,0,0,1
Contig_20_525.92,0,1,chromosome,466,466,0,0,1
Contig_21_233.232,0,1,chromosome,12686,12686,0,0,1
Contig_22_238.388,0,1,chromosome,23851,23851,0,0,1
Contig_23_225.715,0,1,chromosome,15097,15097,0,0,1
Contig_24_202.643,0,1,chromosome,29401,29401,0,0,1
Contig_25_227.521,0,1,chromosome,10101,10101,0,0,1
Contig_26_235.31,0,1,chromosome,35094,35094,0,0,1
Contig_27_519.266,0,1,chromosome,539,539,0,0,1
Contig_28_241.383,0,1,chromosome,15354,15354,0,0,1
Contig_29_242.39,0,1,chromosome,10808,10808,0,0,1
Contig_2_194.008,0,1,chromosome,7107,7107,0,0,1
Contig_30_330.663,0,1,chromosome,2497,2497,0,0,1
Contig_31_236.335,0,1,chromosome,24726,24726,0,0,1
Contig_32_308.682,0,1,chromosome,5692,5685,0,0,1
Contig_33_475.52,0,1,chromosome,977,977,0,0,1
Contig_34_217.208,0,1,chromosome,93891,93891,0,0,1
Contig_35_198.281,0,1,chromosome,88293,88293,0,0,1
Contig_36_202.01,0,1,chromosome,72994,72994,0,0,1
Contig_37_1535.42,0,1,chromosome,1459,1459,0,0,1
Contig_38_2440.69,1,1,ambiguous,1087,1087,1087,0,1;2
Contig_39_317.515,0,1,chromosome,2414,2414,0,0,1
Contig_3_211.897,0,1,chromosome,28444,28444,0,0,1
Contig_40_339.027,0,1,chromosome,2417,2417,0,0,1
Contig_41_242.707,0,1,chromosome,115548,115548,0,0,1
Contig_42_216.096,0,1,chromosome,21913,21913,0,0,1
Contig_43_1706.62,0,1,chromosome,2594,2594,0,0,1
Contig_44_2601.28,0,1,chromosome,1039,1039,0,0,1
Contig_45_235.3,0,1,chromosome,175023,175023,0,0,1
Contig_46_252.335,0,1,chromosome,11429,11429,0,0,1
Contig_47_316.653,0,1,chromosome,3146,3146,0,0,1
Contig_48_295.78,0,1,chromosome,1430,1430,0,0,1
Contig_49_240.772,0,1,chromosome,78940,78940,0,0,1
Contig_4_192.142,0,1,chromosome,5897,5897,0,0,1
Contig_50_212.302,0,1,chromosome,117949,117949,0,0,1
Contig_51_472.076,0,1,chromosome,379,379,0,0,1
Contig_52_249.254,0,1,chromosome,2073,2073,0,0,1
Contig_53_215.586,0,1,chromosome,52469,52469,0,0,1
Contig_54_275.808,0,1,chromosome,19594,19594,0,0,1
Contig_55_239.413,0,1,chromosome,24489,24489,0,0,1
Contig_56_464.473,0,1,chromosome,345,345,0,0,1
Contig_57_244.043,0,1,chromosome,18753,18753,0,0,1
Contig_58_234.639,0,1,chromosome,119532,119532,0,0,1
Contig_59_221.29,0,1,chromosome,129013,129013,0,0,1
Contig_5_271.558,0,1,chromosome,2066,2066,0,0,1
Contig_60_265.941,0,1,chromosome,13042,13042,0,0,1
Contig_61_212.973,0,1,chromosome,9515,9515,0,0,1
Contig_62_232.943,0,1,chromosome,5322,5322,0,0,1
Contig_63_193.375,0,1,chromosome,894,894,0,0,1
Contig_64_1443.06,0,1,chromosome,2953,2953,0,0,1
Contig_65_202.989,0,1,chromosome,74503,74503,0,0,1
Contig_66_202.854,0,1,chromosome,59208,59208,0,0,1
Contig_67_236.559,0,1,chromosome,228784,228784,0,0,1
Contig_68_247.215,0,1,chromosome,21565,21565,0,0,1
Contig_69_891.033,0,1,chromosome,718,718,0,0,1
Contig_6_232.868,0,1,chromosome,10081,10077,0,0,1
Contig_70_357.375,0,1,chromosome,576,576,0,0,1
Contig_71_248.733,0,1,chromosome,40413,40413,0,0,1
Contig_72_232.077,0,1,chromosome,125750,125750,0,0,1
Contig_73_181.839,0,1,chromosome,3956,3956,0,0,1
Contig_74_214.828,0,1,chromosome,120818,120818,0,0,1
Contig_75_224.744,0,1,chromosome,4068,4068,0,0,1
Contig_76_158.838,0,1,chromosome,1791,1791,0,0,1
Contig_77_222.441,0,1,chromosome,86085,86085,0,0,1
Contig_78_549.631,0,1,chromosome,3437,3437,0,0,1
Contig_79_227.732,0,1,chromosome,142508,142508,0,0,1
Contig_7_193.772,0,1,chromosome,2025,2025,0,0,1
Contig_80_249.43,0,1,chromosome,1353,1353,0,0,1
Contig_81_222.777,0,1,chromosome,177977,177977,0,0,1
Contig_82_441.479,0,1,chromosome,596,596,0,0,1
Contig_83_1274.86,1,0,plasmid,10722,0,10722,0,2
Contig_84_202.503,0,1,chromosome,99862,99862,0,0,1
Contig_85_205.74,0,1,chromosome,78451,78451,0,0,1
Contig_86_232.592,0,1,chromosome,118108,118108,0,0,1
Contig_87_757.9,0,1,chromosome,350,350,0,0,1
Contig_88_201.896,0,1,chromosome,12669,12669,0,0,1
Contig_89_209.075,0,1,chromosome,143152,143152,0,0,1
Contig_8_221.878,0,1,chromosome,41413,41413,0,0,1
Contig_90_352.817,0,1,chromosome,802,802,0,0,1
Contig_91_249.58,0,1,chromosome,420,420,0,0,1
Contig_92_477.234,0,1,chromosome,711,711,0,0,1
Contig_93_499.828,0,1,chromosome,2785,2785,0,0,1
Contig_94_247.02,0,1,chromosome,26178,26178,0,0,1
Contig_95_217.016,0,1,chromosome,28298,28298,0,0,1
Contig_96_228.552,0,1,chromosome,19530,19530,0,0,1
Contig_97_194.797,0,1,chromosome,4519,4519,0,0,1
Contig_98_183.562,0,1,chromosome,607,607,0,0,1
Contig_99_251.416,0,1,chromosome,35846,35846,0,0,1
Contig_9_477.53,0,1,chromosome,418,418,0,0,1
Contig_104_232.618:3p:1:2,0,0,unlabeled,9,0,0,0,
Contig_104_232.618:3p:1:5,0,1,chromosome,73,73,0,0,1
Contig_104_232.618:3p:1:6,0,1,chromosome,339,339,0,0,1
Contig_104_232.618:3p:1:10,0,1,chromosome,148,148,0,0,1
Contig_104_232.618:3p:1:11,0,1,chromosome,133,133,0,0,1
Contig_104_232.618:3p:1:12,0,1,chromosome,52,52,0,0,1
Contig_104_232.618:3p:1:13,0,1,chromosome,95,95,0,0,1
Contig_104_232.618:3p:1:14,0,0,unlabeled,1,0,0,0,
Contig_104_232.618:3p:1:16,0,0,unlabeled,21,0,0,0,
Contig_104_232.618:3p:1:17,0,0,unlabeled,20,0,0,0,
Contig_104_232.618:3p:1:18,0,1,chromosome,58,58,0,0,1
Contig_105_227.739:5p:1:5,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:7,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:14,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:19,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:20,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:21,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:23,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:24,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:28,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:29,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:30,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:33,0,0,unlabeled,43,0,0,0,
Contig_105_227.739:5p:1:34,0,0,unlabeled,43,0,0,0,
Contig_105_227.739:5p:1:36,0,1,chromosome,120,120,0,0,1
Contig_105_227.739:5p:1:37,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:38,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:40,0,0,unlabeled,13,0,0,0,
Contig_105_227.739:5p:1:42,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:44,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:47,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:50,0,0,unlabeled,1,0,0,0,
Contig_105_227.739:5p:1:53,0,0,unlabeled,3,0,0,0,
