contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,529565,529565,0,0,1
2,0,1,chromosome,521517,521517,0,0,1
3,0,1,chromosome,316049,316049,0,0,1
4,0,1,chromosome,283211,283211,0,0,1
5,0,1,chromosome,283083,283083,0,0,1
6,0,1,chromosome,195885,195885,0,0,1
7,0,1,chromosome,175842,175842,0,0,1
8,0,1,chromosome,150650,150650,0,0,1
9,0,1,chromosome,111239,111239,0,0,1
10,0,1,chromosome,78164,78164,0,0,1
11,0,1,chromosome,38792,38792,0,0,1
12,1,0,plasmid,32557,0,32557,0,2
13,0,1,chromosome,24842,24842,0,0,1
14,0,1,chromosome,24372,24372,0,0,1
15,0,1,chromosome,19719,19719,0,0,1
16,0,1,chromosome,6572,6572,0,0,1
17,0,1,chromosome,5363,5363,0,0,1
18,0,1,chromosome,3619,3619,0,0,1
19,0,1,chromosome,2809,2809,0,0,1
20,0,1,chromosome,1921,1921,0,0,1
21,0,1,chromosome,1675,1675,0,0,1
22,1,0,plasmid,1545,0,1545,0,2
23,0,1,chromosome,617,617,0,0,1
24,0,1,chromosome,524,524,0,0,1
25,0,1,chromosome,395,395,0,0,1
26,0,1,chromosome,342,342,0,0,1
27,0,1,chromosome,331,331,0,0,1
28,0,1,chromosome,316,316,0,0,1
29,0,1,chromosome,312,312,0,0,1
30,0,1,chromosome,300,300,0,0,1
31,0,1,chromosome,285,285,0,0,1
32,0,1,chromosome,259,259,0,0,1
33,0,1,chromosome,242,242,0,0,1
34,0,1,chromosome,235,235,0,0,1
35,0,1,chromosome,217,217,0,0,1
36,0,1,chromosome,216,216,0,0,1
37,0,1,chromosome,211,211,0,0,1
38,0,1,chromosome,207,207,0,0,1
39,0,1,chromosome,207,207,0,0,1
40,0,1,chromosome,196,196,0,0,1
41,0,1,chromosome,181,181,0,0,1
42,1,1,ambiguous,166,166,166,0,1;2
43,0,1,chromosome,153,153,0,0,1
44,0,1,chromosome,148,148,0,0,1
45,0,1,chromosome,144,144,0,0,1
46,0,1,chromosome,137,137,0,0,1
47,0,1,chromosome,131,131,0,0,1
48,0,1,chromosome,124,124,0,0,1
49,0,1,chromosome,108,108,0,0,1
50,0,1,chromosome,100,100,0,0,1
51,0,1,chromosome,93,93,0,0,1
52,0,1,chromosome,93,93,0,0,1
53,0,1,chromosome,86,86,0,0,1
54,0,1,chromosome,76,76,0,0,1
55,0,1,chromosome,72,72,0,0,1
56,0,1,chromosome,67,67,0,0,1
57,0,1,chromosome,65,65,0,0,1
58,0,1,chromosome,65,65,0,0,1
59,0,1,chromosome,65,65,0,0,1
60,0,1,chromosome,64,64,0,0,1
61,0,1,chromosome,61,61,0,0,1
62,0,1,chromosome,58,58,0,0,1
63,0,0,unlabeled,58,0,0,0,
64,0,1,chromosome,55,55,0,0,1
65,0,0,unlabeled,49,0,0,0,
66,0,0,unlabeled,49,0,0,0,
67,0,0,unlabeled,41,0,0,0,
68,0,0,unlabeled,40,0,0,0,
69,0,0,unlabeled,38,0,0,0,
70,0,0,unlabeled,28,0,0,0,
71,0,0,unlabeled,20,0,0,0,
72,0,0,unlabeled,19,0,0,0,
73,0,0,unlabeled,16,0,0,0,
74,0,0,unlabeled,15,0,0,0,
75,0,0,unlabeled,15,0,0,0,
76,0,0,unlabeled,15,0,0,0,
77,0,0,unlabeled,14,0,0,0,
78,0,0,unlabeled,10,0,0,0,
79,0,0,unlabeled,10,0,0,0,
80,0,0,unlabeled,9,0,0,0,
81,0,0,unlabeled,6,0,0,0,
82,0,0,unlabeled,6,0,0,0,
83,0,0,unlabeled,4,0,0,0,
84,0,0,unlabeled,1,0,0,0,
