contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
Contig_10_120.807,0,1,chromosome,370595,370595,0,0,1
Contig_11_20.3427,0,1,chromosome,694,694,0,0,1
Contig_12_85.9931,0,1,chromosome,350589,350589,0,0,1
Contig_13_114.7,0,1,chromosome,34969,34969,0,0,1
Contig_14_141.277,0,1,chromosome,3594,3594,0,0,1
Contig_15_123.343,0,1,chromosome,313517,313517,0,0,1
Contig_16_110.348,0,1,chromosome,326710,326710,0,0,1
Contig_17_131.896,0,1,chromosome,56912,56912,0,0,1
Contig_18_80.9954,0,1,chromosome,12439,12439,0,0,1
Contig_19_741.784,0,1,chromosome,802,802,0,0,1
Contig_1_83.2538,0,1,chromosome,201038,201038,0,0,1
Contig_20_686.57,0,1,chromosome,858,858,0,0,1
Contig_21_92.0599,0,1,chromosome,253154,253154,0,0,1
Contig_22_70.8614,0,1,chromosome,17555,17555,0,0,1
Contig_23_61.3855,0,1,chromosome,2920,2920,0,0,1
Contig_24_112.174,0,1,chromosome,107213,107213,0,0,1
Contig_25_126.179,0,1,chromosome,39035,39035,0,0,1
Contig_26_99.0655,0,1,chromosome,136761,136761,0,0,1
Contig_27_72.0245,0,1,chromosome,11253,11253,0,0,1
Contig_28_87.6754,0,1,chromosome,99354,99354,0,0,1
Contig_2_106.969,0,1,chromosome,32782,32782,0,0,1
Contig_3_89.7605,0,1,chromosome,40055,40055,0,0,1
Contig_4_71.8495,0,1,chromosome,129953,129926,0,0,1
Contig_5_658.896,0,1,chromosome,1766,1766,0,0,1
Contig_6_93.2192,0,1,chromosome,128347,128347,0,0,1
Contig_7_120.359,0,1,chromosome,34830,34830,0,0,1
Contig_8_93.9723,0,1,chromosome,23990,23990,0,0,1
Contig_9_628.562,0,1,chromosome,596,596,0,0,1
Contig_15_123.343:3p:1:3,0,0,unlabeled,1,0,0,0,
Contig_15_123.343:3p:1:4,0,0,unlabeled,1,0,0,0,
Contig_20_686.57:3p:1:6,0,0,unlabeled,2,0,0,0,
Contig_20_686.57:3p:1:12,0,0,unlabeled,1,0,0,0,
Contig_20_686.57:3p:1:13,0,0,unlabeled,39,0,0,0,
Contig_20_686.57:3p:1:15,0,0,unlabeled,45,0,0,0,
Contig_20_686.57:3p:1:16,0,1,chromosome,102,102,0,0,1
Contig_20_686.57:3p:1:17,0,0,unlabeled,38,0,0,0,
Contig_20_686.57:3p:1:18,0,0,unlabeled,1,0,0,0,
Contig_20_686.57:3p:1:19,0,1,chromosome,100,100,0,0,1
Contig_5_658.896:5p:1:2,0,0,unlabeled,49,0,0,0,
Contig_5_658.896:5p:1:4,0,0,unlabeled,49,0,0,0,
Contig_5_658.896:5p:1:5,0,0,unlabeled,1,0,0,0,
Contig_5_658.896:5p:1:6,0,0,unlabeled,1,0,0,0,
Contig_9_628.562:3p:1:2,0,1,chromosome,174,173,0,0,1
Contig_9_628.562:3p:1:4,0,1,chromosome,174,174,0,0,1
Contig_9_628.562:3p:1:5,0,0,unlabeled,1,0,0,0,
Contig_9_628.562:3p:1:6,0,0,unlabeled,1,0,0,0,
Contig_9_628.562:5p:1:2,0,0,unlabeled,2,0,0,0,
Contig_9_628.562:5p:1:3,0,0,unlabeled,12,0,0,0,
Contig_9_628.562:5p:1:5,0,1,chromosome,354,354,0,0,1
Contig_9_628.562:5p:1:6,0,1,chromosome,170,170,0,0,1
Contig_9_628.562:5p:1:7,0,1,chromosome,252,252,0,0,1
Contig_9_628.562:5p:1:8,0,1,chromosome,71,71,0,0,1
Contig_9_628.562:5p:1:9,0,1,chromosome,369,369,0,0,1
Contig_9_628.562:5p:1:10,0,1,chromosome,369,368,0,0,1
Contig_9_628.562:5p:1:11,0,1,chromosome,371,371,0,0,1
Contig_9_628.562:5p:1:12,0,0,unlabeled,14,0,0,0,
Contig_9_628.562:5p:1:13,0,0,unlabeled,2,0,0,0,
Contig_9_628.562:5p:1:14,0,1,chromosome,93,93,0,0,1
