contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
Contig_10_116.725,0,1,chromosome,1352,1352,0,0,1;5
Contig_11_222.385,1,0,plasmid,2732,0,2732,0,11;13
Contig_12_157.905,0,1,chromosome,13301,5315,0,1011,27;1
Contig_13_222.367,0,0,unlabeled,4012,0,0,4012,16
Contig_14_62.3185,0,1,chromosome,38776,38776,0,0,6
Contig_15_60.4412,0,1,chromosome,191170,191170,0,0,3
Contig_16_65.133,0,1,chromosome,345915,345915,0,0,1
Contig_17_65.5755,0,1,chromosome,160443,160443,0,0,6
Contig_18_60.517,0,1,chromosome,63294,63294,0,0,6
Contig_19_71.0187,0,1,chromosome,5329,5329,0,0,6
Contig_1_342.126_Circ,0,0,unlabeled,5386,0,0,4509,15
Contig_20_128.807,1,0,plasmid,46990,0,46990,0,8
Contig_21_61.742,0,1,chromosome,181509,181509,0,0,5
Contig_22_109.951,0,1,chromosome,576,576,0,0,1;3
Contig_23_62.2377,0,1,chromosome,855585,855585,0,0,4
Contig_24_65.6859,0,1,chromosome,98333,98333,0,0,2
Contig_25_121.756,0,1,chromosome,2818,2818,0,0,1;5
Contig_26_676.61,1,0,plasmid,1223,0,1223,0,11;13
Contig_27_58.7967,0,1,chromosome,267649,267649,0,0,2
Contig_28_119.718,0,1,chromosome,643,643,0,0,6;4
Contig_29_61.6371,0,1,chromosome,20139,20139,0,0,2
Contig_2_127.179,1,0,plasmid,2244,0,2244,0,11
Contig_30_62.6623,0,1,chromosome,13044,13044,0,0,1
Contig_31_61.0455,0,1,chromosome,39084,39084,0,0,4
Contig_32_57.722,0,1,chromosome,142791,142791,0,0,5
Contig_33_220.456,1,0,plasmid,645,0,645,0,9
Contig_34_104.306,0,1,chromosome,1144,1144,0,0,1;3
Contig_35_98.4473,0,1,chromosome,1144,1144,0,0,1;3
Contig_36_109.987,0,1,chromosome,1387,1387,0,0,1;5
Contig_37_107.662,0,1,chromosome,614,614,0,0,1;5
Contig_38_67.7323,0,1,chromosome,6007,6007,0,0,6
