contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,597996,597996,0,0,3
2,0,1,chromosome,573696,573696,0,0,2
3,0,1,chromosome,540540,540540,0,0,1
4,0,1,chromosome,472159,472159,0,0,3
5,0,1,chromosome,457268,457268,0,0,1
6,0,1,chromosome,377420,377420,0,0,1
7,0,1,chromosome,344317,344317,0,0,1
8,0,1,chromosome,315433,315431,0,0,3
9,0,1,chromosome,258521,258521,0,0,2
10,0,1,chromosome,247444,247444,0,0,2
11,0,1,chromosome,216558,216558,0,0,2
12,0,1,chromosome,211909,211899,0,0,2
13,0,1,chromosome,182592,182592,0,0,2
14,0,1,chromosome,178743,178743,0,0,3
15,0,1,chromosome,163493,163493,0,0,1
16,0,1,chromosome,146893,146887,0,0,2
17,0,1,chromosome,126834,126834,0,0,1
18,0,1,chromosome,112023,112023,0,0,3
19,0,1,chromosome,107134,107104,0,0,1
20,0,1,chromosome,106234,106234,0,0,1
21,0,1,chromosome,102379,102371,0,0,2
22,0,1,chromosome,100259,100259,0,0,2
23,0,1,chromosome,96862,96862,0,0,3
24,0,1,chromosome,96137,96137,0,0,3
25,0,1,chromosome,92364,92364,0,0,1
26,0,1,chromosome,91440,91440,0,0,2
27,0,1,chromosome,76197,76197,0,0,1
28,0,1,chromosome,68408,68408,0,0,1
29,0,1,chromosome,67451,67451,0,0,2
30,0,1,chromosome,57895,57895,0,0,2
31,0,1,chromosome,49715,49715,0,0,1
32,0,1,chromosome,48910,48910,0,0,3
33,0,1,chromosome,38299,38299,0,0,2
34,0,1,chromosome,30194,30194,0,0,1
35,0,1,chromosome,28453,28453,0,0,2
36,0,1,chromosome,24037,24037,0,0,2
37,0,1,chromosome,22842,22842,0,0,3
38,0,1,chromosome,20179,20176,0,0,1
39,0,1,chromosome,16045,16045,0,0,3
40,0,1,chromosome,14162,14162,0,0,1
41,0,1,chromosome,11717,11717,0,0,1
42,0,0,unlabeled,9528,0,0,9521,4
43,0,1,chromosome,8181,8177,0,0,1
44,0,1,chromosome,5386,5386,0,0,1;2
45,0,1,chromosome,4586,4586,0,0,2
46,0,1,chromosome,3590,3590,0,0,2
47,0,1,chromosome,788,788,0,0,3
48,0,0,unlabeled,756,0,0,0,
49,0,1,chromosome,756,756,0,0,1
50,0,1,chromosome,658,658,0,0,1;3
51,0,1,chromosome,623,623,0,0,1
52,0,0,unlabeled,623,0,0,0,
53,0,1,chromosome,590,590,0,0,3
54,0,1,chromosome,485,485,0,0,1;2
55,0,0,unlabeled,466,0,0,0,
56,0,1,chromosome,466,466,0,0,1
57,0,1,chromosome,402,402,0,0,2
58,0,1,chromosome,293,293,0,0,2
59,0,1,chromosome,227,227,0,0,1;2
60,0,0,unlabeled,159,0,0,0,
61,0,1,chromosome,140,140,0,0,1
62,0,1,chromosome,114,114,0,0,2
63,0,1,chromosome,101,101,0,0,1
64,0,1,chromosome,100,100,0,0,1
65,0,1,chromosome,84,84,0,0,2
66,0,1,chromosome,63,63,0,0,1;2
67,0,0,unlabeled,36,0,0,0,
