contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
Contig_100_32.9957,0,1,chromosome,4435,4435,0,0,1
Contig_101_333.383,0,1,chromosome,425,425,0,0,1
Contig_102_39.1023,1,0,plasmid,53089,0,53086,0,2
Contig_103_18.7599,1,0,plasmid,8118,0,8117,0,3
Contig_104_33.5983,1,0,plasmid,4096,0,4096,0,2
Contig_105_137.008,1,0,plasmid,7387,0,7387,0,2
Contig_106_298.884,0,1,chromosome,1972,1972,0,0,1
Contig_107_16.9292,1,0,plasmid,6707,0,6707,0,3
Contig_108_19.3737,1,0,plasmid,26319,0,26319,0,3
Contig_109_27.5345,0,1,chromosome,164640,164640,0,0,1
Contig_10_33.8768,0,1,chromosome,38929,38929,0,0,1
Contig_110_30.2141,0,1,chromosome,85684,85684,0,0,1
Contig_111_37.2923,0,1,chromosome,271751,271677,0,0,1
Contig_112_33.1611,1,0,plasmid,12412,0,12412,0,3;2
Contig_113_16.5351,1,0,plasmid,25886,0,25685,0,3
Contig_114_32.3233,0,1,chromosome,97152,97152,0,0,1
Contig_115_32.9021,0,1,chromosome,53697,53697,0,0,1
Contig_11_17.7711,1,0,plasmid,2392,0,2392,0,3
Contig_12_26.9262,0,1,chromosome,93988,93988,0,0,1
Contig_13_32.8382,0,1,chromosome,302044,302044,0,0,1
Contig_14_40.4796,0,1,chromosome,4288,4288,0,0,1
Contig_15_37.5861,0,1,chromosome,98415,98415,0,0,1
Contig_16_27.4949,0,1,chromosome,8931,8931,0,0,1
Contig_17_42.7974,1,0,plasmid,9262,0,9262,0,2
Contig_18_35.2895,0,1,chromosome,5210,5210,0,0,1
Contig_19_32.8606,0,1,chromosome,78190,78190,0,0,1
Contig_1_852.099_Circ,1,0,plasmid,10702,0,10702,0,6
Contig_20_175.418,0,1,chromosome,397,397,0,0,1
Contig_21_28.2682,0,1,chromosome,1202,1202,0,0,1
Contig_22_36.4934,1,0,plasmid,66277,0,66277,0,2
